Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778875167,20,,Aggregated,21.300000,21.300000,4,4,4,4,4,5,70,160,410,410,410,609,603,4,7.911622556567204,1.2604170478880405,409.0853329980746,107.3152709359606
1778875168,20,,Aggregated,21.500000,21.500000,4,4,4,4,4,5,70,160,410,410,410,631,625,4,7.760167541886383,1.2604170478880405,409.0853329980746,106.9904912836767
1778875169,20,,Aggregated,21.800000,21.800000,4,4,4,4,4,5,12,160,410,410,410,651,645,4,7.63451710279699,1.2604170478880405,409.0853329980746,106.71428571428571
1778875170,20,,Aggregated,21.600000,21.600000,4,4,4,4,5,6,220,320,410,410,410,669,648,4,13.378452118110296,1.2604170478880405,409.0853329980746,121.95366218236174
1778875171,20,,Aggregated,21.400000,21.400000,4,4,4,4,5,70,220,320,410,410,410,689,668,4,13.529534119060358,1.2604170478880405,409.0853329980746,122.84905660377359
1778875172,20,,Aggregated,20.600000,19.600000,4,4,4,4,5,12,220,310,410,410,410,708,687,4,13.259129307780672,1.2604170478880405,409.0853329980746,122.1822033898305
1778875173,20,,Aggregated,21.000000,19.500000,4,4,4,4,5,8,220,310,410,410,410,732,711,4,12.94415996432536,1.2604170478880405,409.0853329980746,121.38934426229508
1778875174,20,,Aggregated,21.100000,19.600000,4,4,4,4,4,6,210,310,410,410,410,757,736,4,12.608687430506393,0.7284590392373502,409.0853329980746,120.61690885072655
1778875175,20,,Aggregated,21.100000,19.600000,4,4,4,4,4,6,210,310,410,410,410,774,753,4,12.41391204891351,0.7284590392373502,409.0853329980746,120.12015503875969
1778875176,20,,Aggregated,21.100000,19.600000,4,4,4,4,4,6,210,310,410,410,410,797,776,4,12.146165633531476,0.7284590392373502,409.0853329980746,119.48180677540778
1778875177,20,,Aggregated,21.000000,19.500000,4,4,4,4,4,6,200,300,410,410,410,818,797,4,11.928155724941764,0.7284590392373502,409.0853329980746,118.93031784841075
1778875178,20,,Aggregated,20.900000,19.400000,4,4,4,4,4,6,200,300,410,410,410,840,819,4,11.690134283257759,0.7284590392373502,409.0853329980746,118.38214285714285
